Nom du champ,Valeurs possibles
Substrat,"ardoises, bardage métallique, béton, bitume, bois, bois lamellé, briques, ciment, crépi, dalles de faux-plafond, enduit, lambris bois, lambris métallique, lambris pvc, lattis plâtré, panneaux fibro-plâtre, parpaings, parquet bois, parquet flottant, pierres, placoplâtre, plancher bois, plastique (lino), plâtre, pvc, résine, tomettes, torchis, tuiles, vitrage"
Revêtement apparent,"ardoises, aucun, bardage, bitume, brut, carrelage, crépi, dalles de liège, dalles de sol plastiques, faïence, jonc de mer, lambris bois, lambris métallique, lambris pvc, marbre, pvc, résine, revêtement plastique (lino), revêtement pvc, revêtement textile, sisal, tapis, tapisserie, tissu tendu, toile de jute, toile de verre peinte, tomettes, torchis, vernis, vitrage"
Hauteur,"Ht < 0,5 m, 0,5 m < Ht < 1 m, 1 m < Ht < 1,5 m, 1,5 m < Ht < 2 m, 2 m < Ht < 2,5 m, 2,5 m < Ht < 3 m, Ht > 3 m"
Facteurs de dégradation bâtis,"Des traces de moisissures ou de nombreuses taches d'humidité ont été repérées, Des traces importantes de coulures de ruissellement ou d'écoulement d'eau ont été repérées, Le plancher ou le plafond menace de s'effondrer ou en tout ou partie effondré"
Nom UD,"Ameublement, Arbalétrier, Arrivée d'eau, Boiseries, Branchement d'eau, Câblage, Cageots, Cagettes, Chantignolle, Charpente, Chevrons, Contrefiche, Dalle, Débris de bois, Entrait, Escalier, Évacuation d'eau, Faux plafond, Faux plancher, Faux-entrait, Fenêtre, Ferme, Gaine, Huisseries, Joints de dilatation, Liteaunage, Matériel, Menuiserie, Murs, Panne sablière, Papier carton, Placard, Planches, Plinthes, Poinçon, Porte, Poutres, Regard, Revêtement de plafond, Revêtement de sol, Revêtement mural, Sol, Soubassement, Stockage, Volets, Voligeage, Arbres, Autres végétaux, Cultures, Débris de végétaux, Passerelle, Piquets de clôture, Portail, Poteaux, Remblais, Souches, Stockage de bois"
Observations (Raison NM Travaux),"Absence de revêtement, Elément (Substrat+revêtement) récent, Partie inaccessible avec l'appareil, Pas de revêtement substrat brut, Substrat brut, Substrat ou revêtement pour lequel la réglementation ne s'applique pas, Partie non visée par la réglementation, Découpe chalumeau, Lessivage, Ponçage peinture, Remplacement, Retrait, Sablage"
Partie mesurée,"Boiseries, Branchement d'eau, Câblage, Cageots, Dalle, Débris de bois, Escalier, Évacuation d'eau, Faux plafond, Faux plancher, Fenêtre, Gaine, Huisseries, Joints de dilatation, Matériel, Menuiserie, Murs, Ossature, Papier carton, Placard, Planches, Plinthes, Porte, Poutres, Regard, Revêtement de plafond, Revêtement de sol, Revêtement mural, Sol, Soubassement, Stockage, Ventilation, Volets, Charpente, Volet, Intérieure fenêtre, Extérieur fenêtre, Intérieur volet, Extérieur volet"
Nature de la dégradation,"NC, Usure par friction, Traces de chocs, Microfissures, Pulvérence, Ecaillage, Cloquage, Fissures, Faïençage, Traces de grattage, Lézardes"
Etat de conservation,"Non visible, Non dégradé, Etat d'usage, Dégradé"
