Type d'appareil,Questions
Non raccordé,"C7 8a123, 8b, 8c / C8 9a,9b / C9 10 / C28 35,37b / C10 11a, 11b, 11c, 12a, 12b, 13, 14, 15a, 15b / C11 16a. 16b, 16c1, 16c2 / C12 17 / C13 18b, 18e / C14 19 1, 19 2, 19 3, 19 4, 19 5, 19 6, 19 7, 19 8 / C15 20 1. 20 2. 20 3,. 20 4, 20 5, 20 6, 20 7 / C16 21 / D1 ABCD "
raccordé,"C7 8a123, 8b, 8c / C8 9a,9b / C9 10 / C10 11a, 11b, 11c, 12a, 12b, 13, 14, 15a, 15b / C12 17 / C13 18b, 18e / C14 19 1,2,3,4,5,6,7,8 / C16 21 / C23 28a, 28b, 28c / C24 29 a,b,c1,c2,c,c4,c5, d1, d2, d3, d4, d5, d6, d7, d8, d9, e, f / C25 30 / C26 32a, 32b/ C27 32c, 32d, 32e / D3 J,K,L S1, S2, S3"
Etanche,C7 8a123 8b 8c / C8 9a 9b / C9 10 / C10 11a 11b 11c 12a 12b 13 14 15a 15b / C12 17 / C22 27 / C23 28a 28b 28c / C24 29a 29b 29c1 29c2 29c3 29 c4 29c5 29d1 29d2 29d3 29 d4 29d5 29d6 29d7 29d8 29d9 29e 29f / C26 32a 32b / C27 32c 32d 32e / D4 T 
