enum_name,item_values
inspection_probe,"Poinçon; Couteau à bois; Hache; Couteau; Cutter; Tournevis"
inspection_object,"Ameublement; Arrivée d'eau; Boiseries; Branchement d'eau; Câblage; Cagettes; Cageots; Joints de dilatation; Matériel; Menuiserie; Murs; Ossature; Palette; Papier carton; Placard; Soubassement; Stockage; Ventilation; Volets; Charpente; Ferme; Arbalétrier; Chantignolle; Contrefiche; Panne faîtière; Panne intermédiaire; Panne sablière; Chevrons; Voligeage; Liteaunage"
object_detail,"Acier; Acier laqué; Acier peint; Aluminium; Aluminium laqué; Aluminium naturel; Bardage acier; Bardage aluminium; Bardage métallique; Béton brut; Béton nus; Béton peint; Bois; Bois et acier peints; Bois et aluminium; Bois et aluminium laqué; Bois et aluminium naturel; Bois et PVC; Bois peint; Bois revêtu de carrelage; Carrelage; Dalles de liège; Doublés; Enduit ciment brut; Enduit peint; Enduit teinté masse; Faïence; Lambris bois; Lambris métallique; Lambris pvc; Métal; Moquette murale; Panneaux bois bruts; Panneaux bois peints; Papier peint; Parpaings bruts; Parpaings peints; Parquet revêtu de moquette; Pierres jointées; Placoplâtre; Plancher bois; Plancher et sol carrelés; Plaques fibro-ciment; Plaques ondulées fibro-ciment; Plâtre; Plâtre gratté; Plâtre peint; PVC; Résine; Revêtu de moquette; Revêtu de parquet flottant; Tapissés; Terrasse; Toile de verre peinte; Toiture Ardoise; Toiture béton; Toiture bitumineuse; Toiture composite; Toiture fibro-ciment; Toiture tuiles; Torchis; Vernis; Vitré; Vitrifié"
object_part,"Charpente; Arbalétrier; Bisaiguë; Blochet; Chantignolle; Chevron; Contrefiche; Contreventement; Demi-ferme d'arêtier; Demi-ferme de croupe; Echantignolle; Herminette; Jambette; Lambourde; Lien de faîtage; Membron; Moise; Panne; Panne courante; Panne faîtière; Panne sablière; Panneton; Arêtier; Brisis; Chanlatte; Cordeau; Emboîtement; Epi de faîtage; Faux pureau; Liteaux; Lucarnes; Noquet; Noue; Rive; Souche de cheminée; Terrasson; Tiercée; Toit à la Mansard; Trait carré; Tuile d'about de faîtage; Tuile d'arêtier; Tuile de faîtage; Tuile de rive; Tuile DE DR; Sablière; Solivages bois; Solives; Voliges"
room_shortcut,"Chambre + Volets; Chambre + Fenêtre; Local fermé; Combles"
